full_text,labels,langauge,post type,abusive word,idiomatic express,Source
"Asalin gaskiya shine, mune a arewa muke girmama Tinubu kuma muke darajashi, yan uwansa yorubawa adawa sukeyi da arzikinsa. Yafi samu komai da sauki a arewa akan kudu. Zamana a osun nagane hakan haka zalika lagos. Kawai mu yan buhariyya muna goyon bayansane don abunda yayima alokacinda muke bukata. Amma gaskiya suna zaginsa sosai",positive,Hausa,political,,,Facebook
"Muddun Ka Aikata Mummunan Laifi Zaka Gamu da Mummunan Hukunci Ko Kanaso Ko Bakaso, Kuma ko Ana Sonka Ko Ba a Sonka
.
Duk Alkhairin Mutum Yana da Sharri irin Nashi Wanda Muddin Yayima Sharrinshi to Bazakaga Alkhairinshi da Daraja Ba, Haka Duk Sharrin Mutum Yana da Alkhairi Idan Yayima Alkhairinshi Se Ka Gaza Ganin Sharrin Nashi
.
Don Haka Mu Gane Cewa Dukkaninmu Zul Wajhaini ne, Mukanyi Alkhairi Kuma Mukanyi Sharri, Mukanyi Abun Tsiya Mukanyi na Kirki
.
Ya Allah Kasa ko a Ma'auni Abun Kirkinmu ya Rinjayi na Tsiya, Alkhairinmu ya Rinjayi Sharrinmu Albarkacin Rasulullahi Sallallahu Alaihi Wa Sallam Ameen 
.
Fulatan News Updates",positive,Engausa,religious,,,Facebook
"Hon Auwal Sani Rogo

mutum ne mai girmama duk wanda ya ke hulɗa da mu'amala a tare da shi; mutum ne mai tawali’u da karamci da girmama kowa ba tare da la’akari da matsayinsa, ko girmansa ko siffarsa ba. 

__Mutum neh mai matuƙar fahimta wanda zaka iya tattauna komai da shi don kawo gyara da sauyi, kawar da ɓarna, neman masalaha da samar da ci gaba.

__Bugu Da Ƙari Kuma Jajirtacce Neh , Kullum Cikin Hidimtawa Wannan Tsari Na Kwankwasiyya Yake Domin Tabbatuwar Nasara A Zaɓen Da Muke Tunkara.

Babu Shakka Samun Ka A Matsayin #ROKSOM Chairman ba Ƙaramar Nasara Bace A Garemu , Domin Koh Yanzu Kayi Silar Samuwar Nasarori Wanda Ba'a Taɓa Samun Su Bah A Wannan L.G Tamu , A Ɓangaren Social Media.

Ina kuma roƙon Allah (S.W.T) Ya ƙarawa Rayuwar Sa albarka albarkacin fiyayyen halitta Manzon tsira Annabi Muhammad Sallallahu Alaihi Wa Sallam.",neutral,Engausa,political,,,Facebook
"Mutumin Da Ya Fi Kowa Yawan Kwalon Digiri A Duniya

Farfesa VN Parthiban kenan ɗan kasar Indiya mai shekaru 61 a duniya shi ne mutumin da ya fi kowa yawan kwalin digiri a duniya.

Ya yi digiri 145 akan fannoni daban-daban na ilimi, yana ɗaya daga cikin waɗanda suka fi ilimi a duniya kamar yadda bincike ya nuna.

Yana koyar da darussa sama da 100 a kwalejoji daban-daban a kasar Indiya.

Daga Mutawakkil Gambo Doko",positive,Hausa,education,,,Facebook
"CIKAKKEN MAYAUDARI SHINE WANDA YAKE YAUDARAR KANSA:

Hakika duk wanda yake zaton jam'iyar PDP zata iya cin zaben 2023 a jihar Zamfara babu shakka yana yaudarar kansa ne, domin a fadin kananan hukumomi sha hudu dake jihar Zamfara babu inda jam'iyar PDP ke da hazikan mutanen da zasu iya fito na fito da gwamnati, ballai su iya yakar ta a siyasance.

Yau idan akace gwamnatin jihar Zamfara, ba gwamna Matawalle kadai ake nufi ba, abun ya kumshi har da su tsohon gwamna Abdul-azeez Yari, Sen. Yarima, H-E. Mamuda (Mas), Sen. Marafa, Amb. Bashir Yuguda, Hon. Aminu Jaji, Sen. Sen Sahabi Yau Sen. Lawali Hassan Anka da sauran jiga jigan gwamnati domin duka a karkashin inuwar jam'iyar APC suke.

Haka zalika ma'anar kalmar (Yaki) a gidan siyasa bata nufin cin mutunci koh cin zarafi ballai ayi maganar sare sare, kone kone koh kuma wasu ayukka na ta'addanci. Ita wannan kalma ta (yaki) a gidan siyasa tana nufin gasar juna a tsakanin wadanda ke mulki da wadanda ke neman mulki ta hanyar sharewa talakawa hawayen su a duk sanda suka koka.

Ku kasance dani a nan gaba kadan domin jin yadda ta kaya a hasashena na cin nasarar Jam'iyar APC a zaben 2023.

Muhd Mado ✍️",neutral,Hausa,political,,,Facebook
"A rana irin ta yau wata babbar kotu a Kaduna ta wanke jagoranmu da sabulu fari tas, sannan ta karyata gwamnatin shaqiyin bawa El-Rufai da uban gidansa.
Duk tuhumar da gwamnati tayi masa wanda wawayen arewawa suka yarda da karyar tasu, to Kotun ta ce jagoranmu bai yi laifin komai ba.
-
Ina taya ku murnar wannan babbar Idi bisa ayyana Amirul Mu'umineen Aliyu bn Abi Talib (as) a matsayin wasiyinsa.
Nasir Abu Muhammad.",neutral,Hausa,social,,,Facebook
"Kadan daga cikin makarantun primary na mazabar jada LG din Atiku Abubakar Dan takarar jam iyyar PDP 
Yanxu bai gyara garinsuba zai iya gyara Nigeria ??

Daga Comr Isa Zare Yola.",positive,Engausa,political,,,Facebook
"Bela Hadid 26 years old, haifaffiyar Amurkace.
Wai a cewarsu itace tafi kowace Mace kyau a duniya.
Ni kuma nace wlh karya ne ko Bakatsiniyar chan sarkin sa abinci a story Ameerah aradun Allah ta fatattaka ta a kyaun fuska da cikar halitta balle uwa uba kuma she's a muslem.",neutral,Engausa,social,,,Facebook
"UBA MAFI ƘARANCIN SHEKARU A DUNIYA

An Bayyana Sean Stewart a Matsayin Uba Mafi Ƙarancin Shekaru a Duniya

Wani yaro ɗan shekara 13 daga birnin Auckland na ƙasar New Zealand, ya zama uba mafi ƙarancin shekaru a duniya bayan da ya haihu da mahaifiyar abokinsa ƴar shekara 36 da haihuwa.

Yaron ɗan makarantar firamare, da jaririn a yanzu an yi imanin dukkansu suna cikin kulawa, sai dai yanzu haka ita matar na fuskantar tuhumar aikata laifuka na cikin zarafin yaron wanda abokin ɗan ta ne.
Sorces #IDONMIKIYA",neutral,Engausa,social,,,Facebook
"Molewar Kan Jarirai | Laifin Ungozoma Ne?

Ta wace hanya za a kauce wa matsalar?

Sau da yawa, idan mutane suka ga yaron da kansa ya ɗan mole ko ya taɓe daga goshi ko ƙeya sai su ce wai laifin ungozomansa ce da ba ta daidaita kan yadda ya kamata ba. Sai dai, wannan magana ta yi hannun riga da binciken masana. Domin ƙoƙon kan jarirai an haɗa shi ne da ƙasusuwa masu faɗi guda bakwai, waɗannan ƙasusuwa suna haɗewa kuma su yi ƙarfi har su bayar da cikakkiyar siffar ƙoƙon kai a cikin watanni shida. 

Saboda haka, kan jarirai na iya canja sifa idan aka samu ƙarancin lura yayin raino, musamman a watannin farko bayan haihuwa. 

Me ke kawo kan jarirai ko yara ke molewa, taɓewa ko kusurwa daga goshi ko ƙeya?

Daga cikin matsalolin da ke haddasa wannan matsala akwai matsalar nan da a ke cewa ""positivesitional Plagiocephaly"" a turancin likita. Wannan matsalar sifar ƙoƙon kai tana faruwa ne sakamakon kwantar da jarirai a bayansu tsawon lokaci ba tare da ana jujjuya su ba. Sakamakon ƙoƙon kan jariarai bai gama yin ƙwari sosai ba, wannan ya sa ƙoƙon kansu ke da haɗarin yin kusurwa.

Daga cikin alamun sun haɗa da:

1] Molewa, taɓewa ko kusurwar ƙoƙon kai daga ƙeya.

2] Saɓawar kunnuwa; ta yadda idan aka kalli kan yaro ko jariri daga sama za a ga kunnen ɓarin da ke da matsalar ya zarce gaba zuwa fuska fiye da na ɗaya ɓarin.

Wannan matsala an kasa ta zuwa : Mafi ƙaranci, matsakaiciya da kuma mafi tsanani.

Amma wannan matsala ba ta shafar aiki ko lafiyar ƙwaƙwalwa, sai dai matsalar sifar ƙoƙon kan kawai.

Abubuwan da ke iya janyo wannan matsala:

Bayan kwantar da jarirai tsawon lokaci a bayansu ba tare da ana jujjuya su zuwa hagu, dama ko rib-da-ciki ba.

Akwai abubuwan da ke ƙara haɗarin samun molewar kan jarirai kamar haka:

1] Ƙarancin ruwan mahaifa yayin goyon ciki.

2] Ƙuncin ƙugu ko mahaifar uwa.

3] Ɗaukar cikin tagwaye, ko fiye da haka.

4] Ɗaurewar tsokokin gefen wuya da ke kawo noƙewar wuyan jariri zuwa gefe guda wato ""muscular torticolis"", da dai sauransu.

Yadda za a magance faruwa matsalar.

Abin yi shi ne da zarar an haifi jariri to lalle ne a ɗinga lura da yanayin kwanciyarsa. 

Misali:

a] A riƙa zuya shi daga kwanciyar rigingine zuwa kwanciyar [magirbi] gefe; wato hagu ko dama ta hanyar tokarewa da naɗaɗɗen tawul ko zani. Ko kuma kwanciyar rib-da-ciki, amma a yayin kwanciyar rib-da-ciki akwai buƙatar ƙara lura da kuma sanya ido sosai. Domin kada hancin jariri ya toshe ya hana shi numfashi.

b] A ɗinga canja gurbin kai da ƙafafu, misali, idan yanzu kan jariri yana Gabas, to sai a juya ya koma Yamma. Hakan nan daga Kudu zuwa Arewa.

c] A rage yawan lokacin da jarirai ke ɗauka a cikin kujerar raino ko keken raino.

d] A ɗinga jujjuya kai ko fuskar jariri daga wannan ɓari zuwa wancan ɓari.

Idan iyaye ko ungozomomi za su lura da waɗannan shawarwari za a rage afkuwar wannan matsala.

Sai dai, idan kan yaro ya wuce fiye da watanni uku bai koma daidai ba, ko kuma akwai jinkirin matakan girma, to akwai buƙatar zuwa asibiti domin ganin likita.

Bugu da ƙari, idan kin lura jaririnki ba ya son kallo ko juya kansa zuwa wani ɓangare, ko kuma idan aka yi ƙoƙarin juya fuskarsa zuwa wani ɓangare yana kukan ciwo, to akwai buƙatar ganin likitan fisiyo.

#DeformationalPlagiocephaly

#CephalicIndex

#DifferentialCraniosynostosis

#MuscularTorticolis

#Craniometry

#HelmetTherapy",positive,Engausa,health,,,Facebook
Jami'an Sintiri Sun Kama Wani Mai Chajin Waya Cikin Dare Zai Jangwale Wutar Unguwa Dan A Dinga Kawo Masa Chaji Akai Akai.,neutral,Hausa,security,,,Facebook
"SUNAYEN HAUSAWA DA MA'ANONINSU.

TANKO: Yaron da aka haifa bayan mata.
KANDE: Yarinyar da aka haifa bayan maza.
KILISHI: Yarinyar da aka fara haifa babanta ya samu sarauta.
BARAU: Yaron da aka haifa ya rayu, amma an haifa wasu kafin shi ba su rayu ba.
SAMBO: Yaron da aka haifa bayan maza da yawa.
TALLE: Yaron/yarinya da mahaifiya ta rasu tana gama haihuwa.
AUDI: Yaron/yarinyar da mahaifi ya rasu kafin a haife. MIJIN-YAWA: Yaron da aka haifa dukkanin kakannin sa suna raye.
DIKKO: Yaron da aka fara haifa (Dan fari).
SHEKARAU: Yaron da ya shekara a ciki
MAIWADA: Yaron da aka haifa iyaye suna cikin wadata.
GAMBO: Yaron/yarinyar da aka haifa bayan tagwaye.
CINDO: Yaron/yarinyar da aka haifa da yatsu shida.
MARKA: Yarinyar da aka haifa lokacin marka-marka.
ALHAJI: Yaron da aka haifa lokacin aikin haji.
AZUMI: Yaron/yarinyar da aka haifa lokacin azumi.
SARKI: Yaron da aka sama sunan sarki.

SUNAYEN NA'URORIN BATURE DA AKA CANZA MASU SUNA ZUWA HAUSA.

Ford = Hodi 
Bedford = Bilhodi 
Mercedes = Marsandi 
Peugeot = Fijo
Volkswagen = Besuwaja
Volkswagen Beetle = Ladi ba duwawu
Fiat = Fet 
Austin = Ostan-Ostan 
Bus = Kiya-kiya (borrowed from Yoruba)
Station wagon = Dafa-duka
1973 Mercedes-Benz W114/W115 = Bagobira
1982 Toyota Corolla = Bana ba harka
Hatchback/coupe = ‘Yar kumbula
Long bus = Safa 
Ten-wheel = Tangul 
Mercedes 911 truck = Roka 
Mercedes 1413-1414 truck = Bargazal
Mercedes 1312 (and similar sizes) truck = 'Yar Fakas
Max Diesel = 'Yar Rasha (Kirar Kurma) 
Man Diesel (12-Wheeler) = Kwamanda
Truck with wooden body = Shorido
Hearse = Motar gawa
Towing van = Janwe
Tractor = Tantan
Trailer = Titiri 
Pick-up van = A kori kura 
Bulldozer = Katafila 

SUNAYEN WASU YANKUNA DA HAUSA.

Ibadan = Badun
South West Nigeria = Kurmi
positivert Harcourt = Fatakwal
Onitsha = Anacha
Africa = Afirka
America = Amurka
Turkey = Turkiyya
Istanbul = Santabul
Parsia = Fasha 
Russia = Rasha
Germany = Jamus 
Britain = Birtaniya
Sierra Leone = Salo 
Chad = Chadi
Cotonou = Kwatano 
positivert Lame = Fallomi 
Yemen = Yamal 
Israel = Isira'ila
China = Sin 
Niamey = Yamai 

SUNAYEN WASU ABUBUWA DA AKA CANZAWA SUNA ZUWA HAUSA.

Conductor = Kwandasta
Scrutiniser = Sakwaneza
Brake = Birki
Gear Box = Giyabos
Bumper = Bamba
Radiator = Lagireto
Carburator = Kafireto
Distributor = Disfuto
Coil = Kwayil
Valve = Bawul
Bearings = Boris
Rigs = Ringi 
Plug = Fulogi
Crank Shaft = Karanshaf
Grand Overhaul = Garanbawul 

Sunayen Igbo da Yarabawa da Turawa da sauran kabilu wandanda Hausawa suka canjawa launi.

1) Tope = Takwai
2) Kingsley = Kirsili
3) Gbenga = Biyanga 
4) Ifreke = Cikurege 
5) Ngozi = Ingozi
6) Nwankwo = Nawanko 
7) Gbagyi = Gwari
8) Luggard = Lugga
9) Bordeaux = Bod'o 
10) Awolowo = Awwalaho
11) Nnamdi = Namandi 
12) Balat Hughes = Balatus
13) Taylor Woodrow = Tal'udu.

Daga Ado Rabo",positive,Engausa,social,,,Facebook
"Alhamdulillah.
Kai tsaye zaka iya shiga ta wannan Link din👇

Arewacomputerlibrary. com.ng👈

Domin yin register da Arewa Computer Library don zama daya daga cikin dalibanta kuma member nata, kana shiga Link din zai kaika page din farko na site din, daga gefe zakaga wata alama (gasunan naja masu layi a hoton da na saka) kana danna alamar zaki baka Options kamar haka:

1. Home
2. Classes
3. Bulletin
4. Contact
5. About
6. Become a member

Sai ka danna wurin da aka rubuta ""Become a member"" yana budewa zai baka page din da zaka cike bayananka, kana gama cikewa zakayi Submitting zai baka bayanan cewa muna tayaka murna da cike form na ACL kuma information dinka ya tafi zuwa garemu domin zama cikakken dalibi zakaga Account number a Page din sai ka dauka kayi Payment din 2k bayan katura sai kayi Screenshort na shaidar transfer din katura a wata lamba da zaka gani a Page din, idan ma positiveS zakaje zasu baka Reciept sai ka dauki hotonsa katura ma lambar domin tabbatar da kabiya kudin register.

Kana kammalawa kai tsaye za'a dauki lambarka na WhatsApp domin adding dinka a cikin Group na sabbin Dalibai InshaAllah..

Note: Idan zakayi kayi akan Lokaci domin ACL tanada adadin daliban da zata dauka a wannan karen.

Ubangiji Allah Yasa A Fara Sa'a, Allah Kuma Yayi Jagoranci Bakidaya..🙏",positive,Engausa,education,,,Facebook
"AMINA ISIYAKU: Manyan Mabiya Shafin RARIYA (Top Fan)

Amina Isiyaku ta kasance daya daga cikin masu bibiyar shafin RARIYA sau da kafa, inda take yawan tofa albarkacin bakinta kan duk wani labari da za mu dora ba dare ba rana.

Hakan ne ya sa a wannan karo muka zakulo ta domin jinjina mata a bisa kasancewar da take tare da mu a koda yaushe. 

Malama Amina ta kuma yi amfani da wannan dama wajen kira ga 'yan Nijeriya da su yi wa kasa addu'ar samun zaman lafiya da kuma fatan samun shugaba nagari a yayin zabe mai zuwa (2023).

SANARWA: Masu karatu kada ku manta za mu cigaba da zakulo mabiyanmu daya bayan daya domin jinjina musu.",neutral,Hausa,social,,,Facebook
"Duk al'ummar da abinda zataci (abinci) sai ta fita daga hayyacinta sannan zata sameshi, wa ya gaya maka wannan al'ummar tana hankalta da wuri! 😎",positive,Hausa,social,,,Facebook
"ALGHADIR...

A watan da Annabi SAW yayi hudubar bankwana...

A watan da Annabi SAW yayi Hajin Bankwana...

A watan da ayar nan ta Suratul Ma'ida aya ta 67 ta sauka mai cewa Annabi SAW( Isar da Sakon da aka Saukar maka...)

A watan da ayar nan ta Suratul Ma'ida aya ta 3 ta sauka da cewa a (Yau Na Cika muku addininku....)

A watan da Annabi SAW ya tara Sahabbai masu komawa Madina Madinar da a can za a shugabanci Musulmai.yayi musu Bishara da cewa Duk wanda nake shugabansa to Aliyu Shugabansa ne....

Idan dai har wadannan ababen sun faru kamar yadda Ahlussunnah da Shia suka tabbatar to bai kamata mu saura da wani kokwanto na cewa Shugabancin IMAMU ALI Ga baki dayan Alummar da Annabi ya taba shugabanta wani abu ne da ya takaita ga wasu sojojin Yamen ba.... Wannan watan da wadannan kwanakin Sakonnin Ilahirin Musulmin da ke wurin da wadanda basu wurin ko ma basu zo duniya ba shi Annabi SALLALLAHU ALAIHI wasallam ya isar babu kokwanto. Ciki kuwa har da Imamar Imamu... (AS) 
ALLAH KA SHAIDA MUNA SON IMAMU ALI DA AHALIN GIDANSA YAN GIDAN ANNABTA",positive,Hausa,religious,,,Facebook
"Alfijir Hausa ta baiwa Mai bibiyanta akoda yaushe kyautar ta 5K da Kuma DATA 3G 

Nanerh Hawwerh tana Daya daga cikin dubbannin Mabiya a Nan gida Nijeriya Kama hadda mawakfta na Wannan kafa Mai albarka da Farin Jini."" 

""A cikin lamuran wannan baiwar Allah akwai aikin hankali, duba ga yadda take tanka mana Lokaci bayan lokaci dazaran muka kawo labari, bisani tana amfani da Alkalaminta ta wurin zayyana Alheri akan mu, baza kataba Jin tayi batanci ba, cin fuska, bare izgili ga Wani ko wata. ba bama a wanna kafar namu ba hatta a sauran wasu kafofin yada Labarai tayi shura akan Haka."" 

Bugu da Kari Matashiyan tana amfani da Alkalaminta a domin Yi Mana Nasiha tacikin hikima dazaran mukayi Wani Abu ba dai-dai ba, Koba komai mu ajizaine zamu iya akata sabanin Dai-Dai, Alhamdulillah da Samunki cikin rukunin Zakakuran Masu bibiyarmu akoda yaushe.""

""A domin haka muka ga lallai ta cancanci yabo, da Kuma sakawa da kyauta Mai tsoka ta musamman da hukuman Kamfanin Jaridan Alfijir Hausa zatai Mata, bisani an Bata kyautarta ta Naira dubu biyar #5K da Kuma DATA #3G duk a domin kyautatawa""

""A dai jiya Asabar ne dai 16/07/2022 muka tura Mata da hakkinta Zuwa asusun bankinta na #GT biyo bayan yin Mata alkawarin hakan a shekaranjiya Juma'a kamar yadda muka wallafa hakan Kai tsaye daga Nan babban kafarmu Kuma mun cika Alkawarin sako ya isa gareta. A zantawarmu da ita."" 

""Sannan muna yiwa sauran Mabiya fatan Alheri da cewa Allah ya bar Zumunci Amin summa Amin.",neutral,Engausa,social,,,Facebook
"KO DA YAKE NI BA DAN SIYASA BANE, INA DA LABARIN KA. KAI BANZANE KUMA BAWA NA SIYASA. BAKA BA DA CEFANE A GIDANKA SAI BIN GIDAN ABOKANAI.

MUTANE NA ZATON DA GASKENE KA TURA MATANKA MAKARANTA, BASU SAN CEWA YAWON KARUWANCI TAKEYIBA. SHI YASA WURIN YAWON KARUWANCI TACI ABINCIN DA BAI DACEBA YA SAKA TA ZAWO, SHINE KA KASANCE DA ITA A ASIBITI KANA MATA RENO. MU YARINYAN NAN BAMU SAN YAR SUNNA BACE KO YAR ZINA BACE. 

DON KAI KARIGA KA ZAMA MIJIN TACE, DON ALLAH IBB YUNWA ZAI KASHE UBANKA, KA DAN JE KA SAN MASHI DAGA ALBASHIN DA ""JAN BIRI"" KE BIYANKA DA SHI.

DON KUTUMAN BUHUN BURA'UBANKA WAYE UBAN GIDANKA A SIYASAN SULEJA, MAI ALLAH NE KO JAN BIRI? 

DON NI, NAGA MESSAGE DINKA A WAYAN MAI ALLAH KANA ROKON SHI KUDI. DON KAI TSOHON MATSIYACIN BAYARABE NE.

KU BIYO NI A SHAFI NA GABA. . .",negative,Hausa,political,DON KUTUMAN BUHUN BURA'UBANKA,,Facebook
"SHI WANNAN BIDIYON....

Na samo shi ne saboda yan siyasa su saurari abun da wasu masu zabe ke cewa a jihar Osun...

Da yarabanci suke magana, amma dai naji wajen da aka tambayesu game da wa zasu zaba a zaben shugaban kasa, sai suka ce Tinubu, da aka tambayesu a zaben gwamna fa sai suka adeleke....

A samu wani ya fassara zuwa Hausa, don afi saukin jin tambayoyin da akayi musu, da kuma amsar da aka bayar....

Kar dai a manta, Saka Bidiyon da nayi siyasa ce ta sanya haka, tun da a lokacin siyasa muke....",neutral,Hausa,political,,,Facebook
"Ƴan Bindiga Sun Kashe Matashi A Katsina

A Daren Jiya Asabar Ƴan Bindiga Dauke Da Bindigogi Suka Kai Hari A Garin Tsagero Dake Cikin Karamar Hukumar Rimi A Jihar Katsina Inda Suka Hallaka Wani Matashi Har Lahira, Badamasi Rabe, Wanda Aka Fi Sani Da (Bosi) Har Lahira.

Majiyar RARIYA Ta Shaida Mata Cewa Ƴan Bindigar Sun Shigo Cikin Garin Tsagero Da Misalin Karfe 2:30 Na Daren Jiya Asabar, Bayan Sun Kashe Bosi Dake Sana'ar Kayan Gwari, Sun Kuma Tafi Da Wata Kurkura A Garin.

Tuni Dai Aka Yi Jana'izarsa Kamar Yadda Addinin Musulunci Ya Tanada A Garin Tsagero Dake Karamar Hukumar Rimi A Jihar Katsina Da Safiyar Yau Lahadi.

Allah Ya Jikansa Da Rahama!

Daga Jamilu Dabawa, Katsina",Neutral,Hausa,security,,,Facebook
Kungiyar CAN tajefawa musulmin Nigeria wani kalubale da duk wani mai Hankali yakamata yabada gudummawarsa wajen tabbatar musu da karfin musulunci dakuma muslimai a Nigeria Sunce muslim muslim bazasu ci zabe ba yakamata muje muyi Register kuma mukauda maganar Jam'iya mukwatarwa Addininmu yancinsa domin ganarda Al'ummar duniya cewa musulunci Addinine dayake samada kowane irin Addini a duniya kuma Addinine da nacikinsa suke kishinsa tareda so da Kaunar Junansu,positive,Engausa,religious,,,Facebook
"Shekaru kusan goma da suka wuce bana manta Babbar Sallah Layya ya riske ni acan kudancin kasar nan cikin a jahar Edo. Na shirya tsaf zani Idi sai na lura akwai wajen yin Sallah Idi mafi kusa wato wajen kasuwar Shanun wato unguwan Eyaen don nan ne mutanen Arewa sun fi haduwa sosai wajen sayar da dabbobi don babu wadataccen waje da zai dauki yawan jama'a filin Idin. 

Daman tun ina dan karami garin yarbawa na tashi nayi rayuwata don koda yaushe tare ake hadu ayi sallah ba'a nuna bambanci. Dan Darika zai iya yin wazifa a masallacin da suke sallah haka suma masu Da'awar AHLUSSUNAH bayan magariba ko a Asuba suma sun taba karatu da nasihohi sabanin yadda a arewa akeyi don har National mosque har rigima akeyi akanta 

Da isowata filin Idi mamaki ya kamani matuka ta yadda na rasa ina zan zauna saboda na lura masallatan guda biyun dake wajen da bai fi mita 10 a tsakanin duk suna hudubar Sallah IDI gashi kowanne ya kure lafsifika sai ka rasa me kake sauraro.Dukkan su sun cika har waje ta yadda sahun ya ta karuwa har ya iso gaban dayan masallacin da liman yake huduba. A tunani na zata ko 'yan garin benin ne suka ware wajen masallacin saboda suma su gabatar da huduba ko don mutanen su suji ashe ba haka ba. 

A cikin raina nace har yanzu mutanen Arewa basu fasa halinsu akan kungiyanci addini har kudancin kasar haka suke? Shin me amfanin da baza su hadu suyi Sallahr Idin tare? Yaushe zamu waye cikin addini kamar yadda sauran Al ummah duniya da ake musu wani gani gani na riko da musulunci

Ta tabbata ko saudiyya mutum yaje sauke farali dole ya aje kungiyanci a gefe ya fuskanci abinda ya kawo shi don naga bana ma wani da ake gani shi Dan interfaith shine yayi limanci ya gabatar da Sallah da yin huduba a Ranar Arfa. Wannan shine Addini ba tare da nuna kafi wani tsoron Allah ko fahimtar daidai",positive,Hausa,religious,,,Facebook
"“Ya Rabbi 🤲
Kai Mana Arziƙin Da Zamu Ciyar Da Iyayen Mu‚ Mu Shayar Da Mu Tufatar Da Su‚ Kada Su Nemi Wani Abu Wurin Mu Su Rasa
🤲",positive,Hausa,religious,,,Facebook
"YAN AREWA MU FARGA

Na samu labari cewa Aisha Yesufu matar da take guyon bayan auren jinsi da Sowore mai jaridar Sahara Repositiverters jaridar da ta yiwa Manzon Rahama (SAW) baatanci suna shirin daukar nauyin zanga-zanga da zai mamaye jihohin Arewa

Ya kamata duk wani 'dan Arewa Musulmi ya nesanta kansa da Aisha Yesufu da kuma Sowore, kar a matsa kusa da su, kar a zauna inuwa daya da su

Zanga-zangar da suke son jagoranta tana da manufa, kowa ya ga abinda suka aikata lokacin da suka jagoranci zanga-zangar ENDSARS

'Yan Arewa masu ganin cewa zanga-zanga mafita ce garesu, to ya kamata su samu wasu jagora mutanen kirki 'yan Arewa wadanda zasu jagoranta, amma ba wadannan mutane ba

Mu yawaita tuba, mu koma ga Allah, sannan mu dage da addu'ah, Allah Zai kawo mana agaji da taimako ta yadda bamuyi tsammani ba

Muna rokon Allah Ya bamu mafita na alheri",positive,Engausa,security,,,Facebook
"MATSALAR TSEKO KAN BATUN BIYAN ALBASHI YAZO KARSHE A JIHAR BAUCHI.

Gwamnati jihar Bauchi ta baiwa Dukkanin maaikatu Yancin biyan Albashi da Kansu Domin tabbatar da cewa ba'a Kara Jin korafin maakaci ko guda Daya ba Kan wannan Batu. A wani taron Kara ma juna Sani dake gudana a Dakin taro na Zaranda Hotel Bauchi. Yanzu haka -;

Shugaban maaikata Gwamnatin jihar Bauchi .Alh Yahuza Adamu Haruna A hiran sa da kafar labari Daga Bauchi ya sheda mana cewa sun Kira taron masu ruwa da tsaki Kan sha'anin Albashi a jihar Bauchi.Yanda aka Umarci Ko wacce ma'aikata a jihar Bauchi take biyan Albashi ma'aikatan ta da kanta . Wanda hakan zai kawo karshen matsalar Wanda mutum in Yana da matsala zai yi bayani ne a wajen Aikin sa Kuma take a tantance matsalar a Kuma biya Shi nan take .

Shugaban ma'aikatan Yace Mai girma Gwamnan ya dauki wannan matakin ne Domin dagile Dukkanin korafi da toshe kafar cutar da kowa ko Kuma rike Albashin kowa . Shugaban ma'aikatan Yace sun Gamsu da wannan tsari da Mai girma Gwamnan jihar Sanata Bala Abdulkadir Muhammad Yayi .",positive,Engausa,social,,,Facebook
"LABARI CIKIN HOTUNA: Hotunan Ɗalibin Kwalejin Ilimi Ta Tarayya Da Ke Katsina Da 'Yan Bindiga Suka K@she A Yawon Sallah

Daga Zaharaddeen Gandu

Daga cikin waɗanda 'yan bindiga-daɗi suka kai wa farmaki a yayin dawowa daga yawon Sallah a cikin birnin Katsina, hada ɗalibin Kwalejin Ilimi Ta Tarayya da ke Katsina (FCE Katsina), ɗalibin mai suna Anass Adamu shi ne wanda ya rasa r@nsa yayin gudun tsira daga wajen 'yan bindiga-daɗi a hanyarsu ta komawa Ƙaramar Hukumar Jibia.

Ɗalibin mai suna Anass Adamu ya kammala karatunsa wanda yake a sashen SOS a lambar karatu ta (41Series), wanda har yanzu ba ma a fara ba 'yan lambar karatunsu result ba, ɗalibin dai yana zaune tare da mahaifansa a Ƙaramar Hukumar Jibia ta jihar Katsina.",Neutral,Engausa,security,,,Facebook
"LABARI DA DUMI-DUMINSA: Kotu Shari'ar Musulunci a Kano, ta Yanke Shari'ar Wanda yayi sanadin rasa hannun wani matashi inda zai biya Diyyar Kimanin Kudi Naira Miliyan Hamsin Da Biyu da Dubu Dari Tara da Dubu Hudu(# 52,904,000) Dakuma Yimasa Bulala Ashirin(20).

Tayi Hukuncin Wanda Yayi Sanadiyar Cirewa Salisu Attacker, Hannu A Unguwar Fagge.

A Yau Babbar Kotun Shari'ar Musulinci Dake Zamanta A Unguwar PRP Kwanar jaba, Dake Karamar Nassarawa, Ta Yankewa Abubakar Ayuba, Wanda Yayi Sanadiyar Rasa Hannun Salisu Attacker, Yayinda kotun Ta Yanke Masa Hukuncin Zaman Gidan Gyaran Hali Na Tsohon Wata Shida (6) Tare da Biyan Diyyar Hannun Bisa Shari'ar Musulinci

Yayin Da Zai Biya Diyyar Hannun Kimanin Kudi Naira Miliyan Hamsin Da Biyu da Dubu Dari Tara da Dubu Hudu(# 52,904,000) Dakuma Yimasa Bulala Ashirin(20).

Daga sani Albarka Fagge

© Vanguard Hausa",positive,Engausa,social,,,Facebook
